Artist_x,Title,PeakPos,Duration,Date,id,Acousticness,Album,AlbumType,Artist_y,Danceability,DateS,Energy,Explicit,Genre,Instrumentalness,Key,Label,Length,Liveness,Loudness,Speechiness,Tempo,Track,TrackNumber,Valence
Bazzi,Mine,11.0,20.0,2018-02-03,22,0.0161,COSMIC,album,Bazzi,0.71,2018-04-12,0.789,1.0,"['pop', 'post-teen pop']",2.77e-06,4.0,iamcosmic,131064.0,0.451,-3.874,0.0722,142.929,Mine,14.0,0.717
Kanye West PARTYNEXTDOOR,Wouldn't Leave,24.0,1.0,2018-06-16,23,0.494,ye,album,Kanye West,0.555,2018-06-01,0.433,1.0,"['pop rap', 'rap']",0.0,3.0,"Getting Out Our Dreams, Inc./Def Jam Recordings",205546.0,0.313,-8.559,0.546,164.236,Wouldn't Leave,4.0,0.352
Cardi B,Be Careful,11.0,10.0,2018-04-14,24,0.0256,Invasion of Privacy,album,Cardi B,0.82,2018-04-06,0.568,1.0,['pop'],0.0,6.0,Atlantic/KSR,210787.0,0.0952,-8.23,0.411,152.279,Be Careful,5.0,0.535
Maroon 5,Wait,24.0,21.0,2017-11-25,25,0.0803,Red Pill Blues (Deluxe),album,Maroon 5,0.648,2017-11-03,0.603,0.0,"['dance pop', 'pop']",0.0,8.0,222 Records/Interscope Records,190642.0,0.112,-5.098,0.0507,126.116,Wait,3.0,0.488
Kanye West,Violent Crimes,27.0,1.0,2018-06-16,26,0.374,ye,album,Kanye West,0.665,2018-06-01,0.417,1.0,"['pop rap', 'rap']",0.0,1.0,"Getting Out Our Dreams, Inc./Def Jam Recordings",215320.0,0.186,-6.731,0.524,110.111,Violent Crimes,7.0,0.04
Kanye West,I Thought About Killing You,28.0,1.0,2018-06-16,27,0.822,ye,album,Kanye West,0.742,2018-06-01,0.407,1.0,"['pop rap', 'rap']",0.0,2.0,"Getting Out Our Dreams, Inc./Def Jam Recordings",274186.0,0.0541,-6.938,0.426,116.064,I Thought About Killing You,1.0,0.39
Post Malone 21 Savage,Rockstar,1.0,38.0,2017-10-07,28,0.117,beerbongs & bentleys,album,Post Malone,0.587,2018-04-27,0.535,1.0,"['pop', 'rap']",6.56e-05,5.0,Republic Records,218146.0,0.131,-6.09,0.0898,159.847,rockstar (feat. 21 Savage),6.0,0.14
Kane Brown,Heaven,15.0,24.0,2017-10-28,29,0.263,Kane Brown (Deluxe Edition),album,Kane Brown,0.677,2017-10-06,0.556,0.0,"['contemporary country', 'country road']",0.0,9.0,RCA Records Label Nashville,179506.0,0.105,-6.544,0.0306,80.009,Heaven,15.0,0.521
Selena Gomez,Back To You,31.0,10.0,2017-08-12,30,0.0945,Back To You (From 13 Reasons Why – Season 2 Soundtrack),single,Selena Gomez,0.601,2018-05-10,0.724,0.0,"['dance pop', 'pop', 'post-teen pop']",1.68e-06,6.0,UMGRI Interscope,207904.0,0.12,-4.856,0.0486,102.061,Back To You - From 13 Reasons Why – Season 2 Soundtrack,1.0,0.508
Drake,I'm Upset,19.0,2.0,2018-06-09,31,0.263,I'm Upset,single,Drake,0.899,2018-05-26,0.592,1.0,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",0.0,11.0,Young Money Entertainment / Cash Money Records/ Republic Records,214139.0,0.0831,-7.901,0.333,149.953,I'm Upset,1.0,0.504
Camila Cabello Young Thug,Havana,1.0,43.0,2017-08-26,32,0.184,Camila,album,Camila Cabello,0.765,2018-01-12,0.523,0.0,"['pop', 'post-teen pop']",3.56e-05,2.0,Syco Music/Epic,217306.0,0.132,-4.333,0.03,104.988,Havana,4.0,0.394
Post Malone,Better Now,7.0,6.0,2018-05-12,33,0.354,beerbongs & bentleys,album,Post Malone,0.68,2018-04-27,0.563,1.0,"['pop', 'rap']",0.0,10.0,Republic Records,231266.0,0.136,-5.843,0.0454,145.028,Better Now,9.0,0.374
Rich The Kid,Plug Walk,13.0,17.0,2018-02-24,34,0.202,The World Is Yours,album,Rich The Kid,0.876,2018-03-30,0.519,1.0,"['pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",0.0,11.0,Rich The Kid / (TDE/ISR PS),175229.0,0.108,-6.531,0.143,94.981,Plug Walk,4.0,0.158
Kanye West,No Mistakes,36.0,1.0,2018-06-16,35,0.039,ye,album,Kanye West,0.64,2018-06-01,0.643,1.0,"['pop rap', 'rap']",0.0,10.0,"Getting Out Our Dreams, Inc./Def Jam Recordings",123040.0,0.109,-2.442,0.0625,80.025,No Mistakes,5.0,0.335
Taylor Swift,Delicate,28.0,13.0,2018-03-24,36,0.228,reputation,album,Taylor Swift,0.745,2017-11-10,0.41,0.0,"['dance pop', 'pop', 'post-teen pop']",0.000383,9.0,"Big Machine Records, LLC",232253.0,0.0906,-10.212,0.0779,95.022,Delicate,5.0,0.0596
Calvin Harris Dua Lipa,One Kiss,32.0,9.0,2018-04-21,37,0.037,One Kiss (with Dua Lipa),single,Calvin Harris,0.791,2018-04-06,0.862,0.0,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house']",2.19e-05,9.0,Sony Music UK,214846.0,0.0814,-3.24,0.11,123.994,One Kiss (with Dua Lipa),1.0,0.592
Lil Dicky Chris Brown,Freaky Friday,8.0,12.0,2018-03-31,38,0.147,Freaky Friday (feat. Chris Brown),single,Lil Dicky,0.755,2018-03-15,0.599,1.0,"['hip hop', 'pop', 'pop rap', 'rap']",0.0,8.0,Commission/BMG,216631.0,0.109,-5.042,0.224,133.123,Freaky Friday (feat. Chris Brown),1.0,0.755
Dua Lipa,New Rules,6.0,45.0,2017-08-19,39,0.00256,Dua Lipa (Deluxe),album,Dua Lipa,0.771,2017-06-02,0.696,0.0,['pop'],9.71e-06,9.0,Warner Bros.,208826.0,0.179,-6.258,0.0755,116.054,New Rules,10.0,0.656
Dan Shay,Tequila,37.0,13.0,2018-01-27,40,0.0292,Tequila,single,Dan + Shay,0.474,2018-01-10,0.594,0.0,"['contemporary country', 'country road']",0.0,11.0,Warner Bros.,195986.0,0.133,-5.756,0.0289,86.131,Tequila,1.0,0.503
Khalid Normani,Love Lies,35.0,16.0,2018-03-03,41,0.0956,Love Lies (with Normani),single,Khalid,0.708,2018-02-14,0.648,0.0,"['indie r&b', 'pop']",0.0,6.0,RCA Records Label,201707.0,0.134,-5.626,0.0449,143.955,Love Lies (with Normani),1.0,0.338
"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna Bad Bunny",Te Bote,36.0,7.0,2018-05-05,42,0.542,Te Boté (Remix),single,Nio Garcia,0.903,2018-04-13,0.675,1.0,"['latin', 'reggaeton', 'reggaeton flow']",1.28e-05,11.0,"2018 Flow La Movie, Inc.",417920.0,0.0595,-3.445,0.214,96.507,Te Boté - Remix,1.0,0.442
The Weeknd Kendrick Lamar,Pray For Me,7.0,18.0,2018-02-17,43,0.092,Pray For Me (with Kendrick Lamar),single,The Weeknd,0.734,2018-02-02,0.667,1.0,"['canadian pop', 'pop', 'rap']",2.12e-05,2.0,Top Dawg Ent./Aftermath/Interscope Records,211440.0,0.104,-4.996,0.0871,100.578,Pray For Me (with Kendrick Lamar),1.0,0.165
Luke Combs,One Number Away,34.0,12.0,2018-03-31,44,0.00585,This One's for You,album,Luke Combs,0.544,2017-06-02,0.781,0.0,"['contemporary country', 'country road']",0.0,6.0,River House Artists/Columbia Nashville,221800.0,0.191,-6.16,0.0311,144.075,One Number Away,6.0,0.527
