Acousticness,Album,Album Type,Artist,Danceability,Date,Energy,Explicit,Genre,Instrumentalness,Key,Label,Length,Liveness,Loudness,Speechiness,Tempo,Track,Track Number,Valence
0.228,Cleopatra,album,The Lumineers,0.536,2016-04-08,0.775,0.0,"['folk-pop', 'indie folk', 'indie pop', 'modern rock', 'stomp and holler']",0.000143,8.0,"Dualtone Music Group, Inc.",201413.0,0.0947,-6.765,0.0394,151.393,Cleopatra,3.0,0.485
0.00551,Thief,single,Ookay,0.573,2016-09-02,0.807,0.0,"['brostep', 'edm', 'electro house', 'electronic trap']",0.00608,6.0,Astralwerks (US1A),239711.0,0.109,-2.958,0.06,149.949,Thief,1.0,0.206
0.308,AT.LONG.LAST.A$AP,album,A$AP Rocky,0.696,2015-05-26,0.583,1.0,"['east coast hip hop', 'pop', 'pop rap', 'rap', 'trap music']",0.0,3.0,A$AP Worldwide/Polo Grounds Music/RCA Records,227426.0,0.0964,-9.351,0.301,137.079,Canal St.,2.0,0.524
0.155,Cloud Nine,album,Kygo,0.679,2016-05-13,0.662,0.0,"['edm', 'pop', 'tropical house']",0.0,8.0,Kygo,222801.0,0.152,-6.069,0.174,99.879,Stole the Show,2.0,0.438
0.0038,No Hook,single,YBN Nahmir,0.815,2017-12-08,0.498,1.0,"['rap', 'trap music']",0.0,10.0,Human Re Sources / M.M.M,138709.0,0.192,-8.516,0.599,166.025,No Hook,1.0,0.368
0.243,Tranquility Base Hotel & Casino,album,Arctic Monkeys,0.581,2018-05-11,0.767,0.0,"['garage rock', 'modern rock', 'permanent wave', 'sheffield indie']",0.00131,7.0,Domino Recording Co,354640.0,0.141,-5.026,0.0527,120.07,Star Treatment,1.0,0.673
0.0531,Too Hard,album,Lil Baby,0.755,2017-12-01,0.547,1.0,"['rap', 'southern hip hop', 'trap music']",0.0,8.0,Quality Control Music (Caroline),218200.0,0.174,-10.327,0.186,112.949,To The Top,1.0,0.349
0.0109,Die Lit,album,Playboi Carti,0.84,2018-05-11,0.597,1.0,"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",0.000169,2.0,AWGE Label,216400.0,0.114,-7.569,0.3,156.975,Pull Up,12.0,0.569
0.957,Enno Aare,single,Enno Aare,0.35,2016-11-28,0.0256,0.0,['focus'],0.88,2.0,Enno Aare,220384.0,0.106,-22.589,0.0334,77.664,Ella's Lullaby,1.0,0.071
0.194,SATURATION III,album,BROCKHAMPTON,0.672,2017-12-15,0.452,1.0,"['boy band', 'hip hop', 'indie r&b', 'rap']",0.0,0.0,"QUESTION EVERYTHING, INC. / EMPIRE",213658.0,0.251,-7.947,0.0738,82.012,RENTAL,12.0,0.514
0.00247,435,single,"Tyler, The Creator",0.539,2018-06-08,0.804,1.0,"['hip hop', 'indie r&b', 'rap']",0.000185,10.0,Columbia,93840.0,0.463,-5.504,0.172,85.752,435,1.0,0.798
0.000198,Bulletproof,single,Godsmack,0.39,2018-02-28,0.91,0.0,"['alternative metal', 'groove metal', 'nu metal', 'post-grunge', 'rap metal', 'rap rock', 'rock']",0.0,5.0,BMG Rights Management (US) LLC,177048.0,0.156,-3.268,0.133,162.253,Bulletproof,1.0,0.644
0.0267,Home State,album,Jordan Davis,0.592,2018-03-23,0.891,0.0,['contemporary country'],0.0,10.0,MCA Nashville,174254.0,0.352,-3.144,0.0512,99.983,Take It From Me,1.0,0.674
0.348,Pa Ti,single,Bad Bunny,0.766,2017-01-02,0.715,1.0,"['reggaeton', 'trap latino']",0.0,1.0,Rimas Music LLC.,191294.0,0.098,-3.025,0.231,128.085,Pa Ti,1.0,0.555
0.189,Lil Pump,album,Lil Pump,0.858,2017-10-06,0.435,1.0,['rap'],0.0,6.0,Warner Bros.,108213.0,0.0925,-11.286,0.0661,141.993,Flex Like Ouu,14.0,0.704
0.0098,GEMINI,album,Macklemore,0.922,2017-09-22,0.583,1.0,['pop rap'],0.0,5.0,Bendo LLC,261614.0,0.0962,-4.982,0.0753,136.043,Marmalade (feat. Lil Yachty),3.0,0.494
0.221,True's World,single,MadeinTYO,0.841,2017-08-25,0.665,1.0,"['dwn trap', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music', 'underground hip hop', 'vapor trap']",0.0,1.0,Commission Music,183640.0,0.277,-6.568,0.271,135.984,Too Quick,4.0,0.43
0.0122,Evolve,album,Imagine Dragons,0.288,2017-06-23,0.77,0.0,"['modern rock', 'vegas indie']",1.05e-06,4.0,KIDinaKORNER/Interscope Records,232906.0,0.0903,-5.296,0.0463,96.117,Walking The Wire,5.0,0.158
0.00684,Phone Down,single,Lost Kings,0.597,2016-10-07,0.682,1.0,"['edm', 'indie poptimism', 'pop', 'post-teen pop', 'tropical house']",0.0,9.0,Disruptor Records/RCA Records,215564.0,0.117,-5.393,0.0874,143.811,Phone Down,1.0,0.459
0.0348,reputation,album,Taylor Swift,0.719,2017-11-10,0.476,0.0,"['dance pop', 'pop', 'post-teen pop']",0.0,0.0,"Big Machine Records, LLC",230373.0,0.185,-8.76,0.0562,119.931,Dress,12.0,0.0845
0.872,Trip,album,Jhene Aiko,0.425,2017-09-22,0.308,1.0,"['dance pop', 'indie r&b', 'pop', 'pop rap', 'r&b', 'rap', 'urban contemporary']",1.61e-06,2.0,Def Jam Recordings,270546.0,0.101,-10.211,0.292,80.343,Never Call Me,11.0,0.125
0.683,F.A.M.E.,album,Maluma,0.58,2018-05-18,0.491,0.0,['reggaeton'],0.0,7.0,Sony Music Latin,189133.0,0.122,-5.156,0.0473,83.81,Marinero,8.0,0.843
0.00912,Love Yourself 承 'Her',album,BTS,0.667,2017-09-18,0.889,0.0,['k-pop'],0.0,6.0,Bighit Entertainment,238193.0,0.0816,-4.851,0.0918,169.959,MIC Drop,7.0,0.541
0.252,508-507-2209,album,Joyner Lucas,0.746,2017-06-16,0.576,1.0,"['hip hop', 'pop rap', 'rap']",0.0,8.0,Atlantic Records,349785.0,0.074,-7.461,0.414,110.2,I'm Sorry,15.0,0.337
0.0404,Put Me Back Together (feat. Kiiara),single,Cheat Codes,0.567,2018-03-01,0.644,1.0,"['dance pop', 'edm', 'indie poptimism', 'pop', 'post-teen pop', 'tropical house']",5.03e-06,0.0,300 Entertainment,223899.0,0.0632,-5.699,0.0278,140.038,Put Me Back Together (feat. Kiiara),1.0,0.212
0.226,La Mejor Versión De Mí,album,Banda Sinaloense MS de Sergio Lizárraga,0.779,2017-04-21,0.373,0.0,"['banda', 'norteno', 'regional mexican']",6.41e-06,2.0,Lizos Music,281400.0,0.0978,-7.968,0.0372,119.946,Tu Postura,13.0,0.499
0.0466,Bad Girls EP,single,MKTO,0.699,2015-07-24,0.761,0.0,"['dance pop', 'pop', 'pop rap', 'post-teen pop', 'viral pop']",0.0,10.0,Columbia/M2V,250746.0,0.107,-4.337,0.0457,120.044,Just Imagine It,4.0,0.443
0.187,From The Fires,album,Greta Van Fleet,0.372,2017-11-10,0.911,0.0,"['garage rock', 'modern hard rock']",0.000199,7.0,Universal Music Group,259893.0,0.0883,-3.949,0.0694,200.012,Black Smoke Rising,8.0,0.536
