Artist,Title,"('PeakPos', 'min')","('Duration', 'max')","('Date', 'min')"
Derez De'Shon,Hardaway,61.0,11.0,2018-02-17
Demi Lovato,Tell Me You Love Me,53.0,20.0,2017-09-16
The Weeknd,Try Me,26.0,20.0,2015-01-03
Chris Stapleton,Broken Halos,45.0,20.0,2017-05-06
Queen Naija,Medicine,45.0,2.0,2018-04-14
Devin Dawson,All On Me,52.0,20.0,2017-11-18
Alice Merton,No Roots,84.0,3.0,2018-04-07
2 Chainz Featuring YG & Offset,Proud,96.0,2.0,2018-04-14
The Weeknd Featuring Gesaffelstein,I Was Never There,35.0,1.0,2018-04-14
The Weeknd Featuring Gesaffelstein,Hurt You,43.0,1.0,2018-04-14
N*E*R*D & Rihanna,Lemon,36.0,22.0,2017-11-25
The Weeknd,Privilege,52.0,1.0,2018-04-14
Lil Skies Featuring Landon Cube,Nowadays,55.0,13.0,2018-01-20
Panic! At The Disco,Say Amen (Saturday Night),60.0,2.0,2018-04-07
YoungBoy Never Broke Again,No Smoke,61.0,18.0,2017-12-09
Chris Brown,Tempo,88.0,4.0,2018-03-17
"Tyler, The Creator",OKRA,89.0,1.0,2018-04-14
Luis Fonsi & Demi Lovato,Echame La Culpa,47.0,20.0,2017-12-09
Old Dominion,Written In The Sand,51.0,20.0,2017-12-09
Ozuna x Cardi B,La Modelo,52.0,14.0,2018-01-06
P!nk,Beautiful Trauma,78.0,15.0,2017-12-09
Lil Yachty Featuring NBA YoungBoy,NBAYoungboat,63.0,4.0,2018-03-24
H.E.R.,Focus,7.0,13.0,2015-11-21
G-Eazy Featuring A$AP Rocky & Cardi B,No Limit,4.0,29.0,2016-07-16
Kendrick Lamar Featuring Zacari,Love.,11.0,40.0,2017-05-06
Selena Gomez X Marshmello,Wolves,20.0,23.0,2017-11-11
"Migos, Nicki Minaj & Cardi B",MotorSport,6.0,22.0,2017-11-18
6ix9ine,Gummo,12.0,20.0,2017-12-02
Shawn Mendes,Lost In Japan,64.0,1.0,2018-04-07
Famous Dex Featuring A$AP Rocky,Pick It Up,54.0,20.0,2017-12-02
Lil Xan,Betrayed,64.0,20.0,2017-12-02
Logic,44 More,22.0,5.0,2018-03-10
Migos,Narcos,36.0,9.0,2018-02-10
Blac Youngsta,Booty,73.0,5.0,2018-03-10
YBN Nahmir,Rubbin Off The Paint,46.0,17.0,2017-11-25
XXXTENTACION,The Remedy For A Broke Heart (Why Am I So In Love),67.0,2.0,2018-03-31
Trippie Redd Featuring Travis Scott,Dark Knight Dummo,72.0,7.0,2017-12-30
Khalid,Young Dumb & Broke,18.0,36.0,2017-08-05
Charlie Puth,How Long,21.0,24.0,2017-10-28
Lin-Manuel Miranda & Ben Platt,Found / Tonight,49.0,1.0,2018-03-31
Miguel Featuring Travis Scott,Sky Walker,29.0,26.0,2017-09-23
XXXTENTACION,Numb,11.0,33.0,2017-08-12
XXXTENTACION Featuring Joey Bada$$,Infinity (888),83.0,1.0,2018-03-31
XXXTENTACION,Going Down!,95.0,1.0,2018-03-31
Jacquees X Dej Loaf,At The Club,86.0,7.0,2018-02-17
The Chainsmokers,Everybody Hates Me,100.0,1.0,2018-03-31
A$AP Ferg Featuring Nicki Minaj,Plain Jane,26.0,25.0,2017-10-14
Demi Lovato,Sorry Not Sorry,6.0,36.0,2016-01-02
Logic Featuring Wiz Khalifa,Indica Badu,56.0,1.0,2018-03-24
Logic,Contra,60.0,1.0,2018-03-24
Logic,Overnight,68.0,1.0,2018-03-24
Lil Yachty Featuring Trippie Redd,66,73.0,1.0,2018-03-24
Logic,Midnight,74.0,1.0,2018-03-24
Logic Featuring Big Sean,Wassup,83.0,1.0,2018-03-24
Eminem Featuring Ed Sheeran,River,11.0,13.0,2018-01-03
